item_name;item_category;custom;type;subtype;prot_curve_type;prot_0_curve_type;In;Isc;pcurve_l;pcurve_g
6A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;6;10;('mcb_lnt', '', 'lnt_mcb_b.json');
10A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;10;10;('mcb_lnt', '', 'lnt_mcb_b.json');
16A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;16;10;('mcb_lnt', '', 'lnt_mcb_b.json');
20A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;20;10;('mcb_lnt', '', 'lnt_mcb_b.json');
25A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;25;10;('mcb_lnt', '', 'lnt_mcb_b.json');
32A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;32;10;('mcb_lnt', '', 'lnt_mcb_b.json');
40A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;40;10;('mcb_lnt', '', 'lnt_mcb_b.json');
50A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;50;10;('mcb_lnt', '', 'lnt_mcb_b.json');
63A, B Curve;MCB - L&T;True;Legrand DX3;MCB;B Curve;;63;10;('mcb_lnt', '', 'lnt_mcb_b.json');
6A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;6;10;('mcb_lnt', '', 'lnt_mcb_c.json');
10A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;10;10;('mcb_lnt', '', 'lnt_mcb_c.json');
16A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;16;10;('mcb_lnt', '', 'lnt_mcb_c.json');
20A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;20;10;('mcb_lnt', '', 'lnt_mcb_c.json');
25A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;25;10;('mcb_lnt', '', 'lnt_mcb_c.json');
32A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;32;10;('mcb_lnt', '', 'lnt_mcb_c.json');
40A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;40;10;('mcb_lnt', '', 'lnt_mcb_c.json');
50A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;50;10;('mcb_lnt', '', 'lnt_mcb_c.json');
63A, C Curve;MCB - L&T;True;Legrand DX3;MCB;C Curve;;63;10;('mcb_lnt', '', 'lnt_mcb_c.json');
6A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;6;10;('mcb_lnt', '', 'lnt_mcb_d.json');
10A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;10;10;('mcb_lnt', '', 'lnt_mcb_d.json');
16A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;16;10;('mcb_lnt', '', 'lnt_mcb_d.json');
20A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;20;10;('mcb_lnt', '', 'lnt_mcb_d.json');
25A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;25;10;('mcb_lnt', '', 'lnt_mcb_d.json');
32A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;32;10;('mcb_lnt', '', 'lnt_mcb_d.json');
40A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;40;10;('mcb_lnt', '', 'lnt_mcb_d.json');
50A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;50;10;('mcb_lnt', '', 'lnt_mcb_d.json');
63A, D Curve;MCB - L&T;True;Legrand DX3;MCB;D Curve;;63;10;('mcb_lnt', '', 'lnt_mcb_d.json');
6A, B Curve;MCB - Legrand DX3;True;Legrand DX3;MCB;B Curve;;6;10;('mcb_legrand', '', 'params_b.json');
10A, B Curve;MCB - Legrand DX3;True;Legrand DX3;MCB;B Curve;;10;10;('mcb_legrand', '', 'params_b.json');
16A, B Curve;MCB - Legrand DX3;True;Legrand DX3;MCB;B Curve;;16;10;('mcb_legrand', '', 'params_b.json');
20A, B Curve;MCB - Legrand DX3;True;Legrand DX3;MCB;B Curve;;20;10;('mcb_legrand', '', 'params_b.json');
